Altitude,count
1200.0,57
1100.0,51
1300.0,46
1500.0,42
1400.0,41
1250.0,37
1700.0,36
1000.0,33
1750.0,32
4300.0,31
1800.0,31
1600.0,30
1450.0,29
1550.0,28
1775.0,25
1350.0,23
1650.0,21
442.0,12
1850.0,12
1900.0,12
890.0,11
1.0,11
4000.0,11
750.0,10
900.0,8
950.0,7
1050.0,7
600.0,7
800.0,7
1150.0,6
1260.0,6
1170.0,6
700.0,5
850.0,5
934.0,5
650.0,5
1.775,5
200.0,5
5000.0,4
1880.0,4
940.0,4
1040.0,4
2000.0,4
995.0,3
1901.0,3
1.25,3
518.0,3
905.0,3
3280.0,3
2075.0,3
1680.0,3
1635.0,3
1754.0,3
1320.0,3
1248.0,2
894.0,2
1020.0,2
1380.0,2
1625.0,2
1950.0,2
1.2,2
1296.0,2
4500.0,2
4650.0,2
975.0,2
1799.0,2
1.3,2
775.0,2
825.0,2
1580.0,2
1038.5,2
1480.0,2
1620.0,2
150.0,2
1488.0,2
250.0,2
2136.0,2
350.0,2
925.0,2
1456.0,1
1599.0,1
1425.0,1
1642.0,1
774.0,1
1422.0,1
695.0,1
0.0,1
1556.0,1
110.0,1
680.0,1
1130.0,1
763.0,1
180.0,1
975.8,1
190164.0,1
1187.5,1
758.0,1
1525.0,1
1745.0,1
1367.0,1
1095.0,1
3140.0,1
1212.0,1
3170.0,1
1140.0,1
1280.0,1
3500.0,1
1264.0,1
1022.0,1
1901.64,1
3845.0,1
973.0,1
808.0,1
4287.0,1
3800.0,1
280.0,1
50.0,1
1.85,1
3825.0,1
100.0,1
1210.0,1
1186.0,1
300.0,1
688.0,1
550.0,1
4001.0,1
872.0,1
690.0,1
2527.0,1
1483.0,1
1261.0,1
2100.0,1
1227.0,1
1813.0,1
1330.0,1
439.0,1
3702.0,1
1218.0,1
1676.5,1
525.0,1
968.0,1
981.0,1
1530.0,1
1565.0,1
3664.0,1
3607.0,1
2560.0,1
170.0,1
2.56,1
1770.0,1
1860.0,1
1905.0,1
1822.5,1
175.0,1
16.8,1
1653.0,1
532.0,1
1877.0,1
2500.0,1
944.0,1
1144.0,1
4563.0,1
533.0,1
1338.0,1
1180.0,1
441.0,1
1268.0,1
982.0,1
1396.0,1
1560.0,1
2285.0,1
1679.0,1
1317.0,1
1240.0,1
1.65,1
1442.0,1
1059.0,1
1645.0,1
1473.0,1
1089.0,1
40.0,1
