,Bag_Weight
0,60 kg
1,60 kg
2,1
3,60 kg
4,60 kg
5,30 kg
6,69 kg
7,60 kg
8,60 kg
9,60 kg
10,60 kg
11,1 kg
12,1 kg
13,1
14,60 kg
15,1 kg
16,"2 kg,lbs"
17,6
18,60 kg
19,60 kg
20,1 kg
21,3 lbs
22,1 kg
23,1 kg
24,60 kg
25,60 kg
26,6
27,60 kg
28,69 kg
29,50 kg
30,6
31,60 kg
32,60 kg
33,2 lbs
34,60 kg
35,1 kg
36,100 lbs
37,100 lbs
38,6
39,1 kg
40,1 kg
41,60 kg
42,60 kg
43,15 kg
44,60 kg
45,60 kg
46,60 kg
47,2 kg
48,1 kg
49,60 kg
50,6
51,2
52,69 kg
53,60 kg
54,70 kg
55,60 kg
56,60 kg
57,1 kg
58,1 kg
59,19200 kg
60,5 lbs
61,60 kg
62,2 kg
63,1 kg
64,100 lbs
65,60 kg
66,60 kg
67,60 kg
68,60 kg
69,69 kg
70,60 kg
71,60 kg
72,100 lbs
73,60 kg
74,"1 kg,lbs"
75,60 kg
76,30 kg
77,3 lbs
78,3 lbs
79,60 kg
80,60 kg
81,6 kg
82,6
83,69 kg
84,70 kg
85,70 kg
86,60 kg
87,1 kg
88,19200 kg
89,70 kg
90,60 kg
91,100 lbs
92,70 kg
93,100 lbs
94,6
95,0 lbs
96,60 kg
97,70 kg
98,46 kg
99,30 kg
100,60 kg
101,60 kg
102,60 kg
103,1 kg
104,100 lbs
105,69 kg
106,70 kg
107,70 kg
108,40 kg
109,60 kg
110,70 kg
111,1 kg
112,60 kg
113,60 kg
114,60 kg
115,20 kg
116,60 kg
117,100 lbs
118,6
119,6
120,50 kg
121,60 kg
122,1 kg
123,69 kg
124,6
125,69 kg
126,1 kg
127,1 kg
128,69 kg
129,34 kg
130,1 lbs
131,30 kg
132,69 kg
133,1 kg
134,2 kg
135,30 kg
136,70 kg
137,60 kg
138,1 kg
139,1 kg
140,1 kg
141,60 kg
142,60 kg
143,6
144,60 kg
145,70 kg
146,70 kg
147,60 kg
148,69 kg
149,69 kg
150,70 kg
151,70 kg
152,660 kg
153,70 kg
154,1 kg
155,70 kg
156,60 kg
157,60 kg
158,18975 kg
159,12000 kg
160,60 kg
161,1 lbs
162,2 kg
163,2 kg
164,69 kg
165,60 kg
166,1 kg
167,1 kg
168,69 kg
169,60 kg
170,60 kg
171,69 kg
172,30 kg
173,35 kg
174,70 kg
175,2 kg
176,100 lbs
177,1 kg
178,6 kg
179,60 kg
180,66 kg
181,70 kg
182,69 kg
183,70 kg
184,70 kg
185,70 kg
186,80 kg
187,60 kg
188,60 kg
189,132 lbs
190,1
191,5 kg
192,25 kg
193,70 kg
194,69 kg
195,69 kg
196,60 kg
197,70 kg
198,70 kg
199,2 kg
200,70 kg
201,60 kg
202,60 kg
203,69 kg
204,70 kg
205,100 lbs
206,1 kg
207,1 kg
208,1 kg
209,60 kg
210,69 kg
211,70 kg
212,69 kg
213,69 kg
214,69 kg
215,69 kg
216,70 kg
217,2 kg
218,59 kg
219,69 kg
220,60 kg
221,60 kg
222,1 kg
223,5 lbs
224,18000 kg
225,2 kg
226,69 kg
227,2 kg
228,70 kg
229,1 kg
230,60 kg
231,2 kg
232,70 kg
233,20 kg
234,69 kg
235,70 kg
236,2 kg
237,100 lbs
238,1 kg
239,60 kg
240,150 lbs
241,60 kg
242,66 kg
243,69 kg
244,1 kg
245,69 kg
246,69 kg
247,1 kg
248,70 kg
249,70 kg
250,60 kg
251,60 kg
252,70 kg
253,60 kg
254,1 kg
255,9000 kg
256,60 kg
257,60 kg
258,60 kg
259,69 kg
260,40 kg
261,60 kg
262,50 kg
263,70 kg
264,70 kg
265,2 kg
266,2 kg
267,2 kg
268,70 kg
269,60 kg
270,70 kg
271,1 kg
272,1 kg
273,1 kg
274,70 kg
275,70 kg
276,69 kg
277,69 kg
278,30 kg
279,2 kg
280,18 kg
281,60 kg
282,2 kg
283,1 kg
284,69 kg
285,60 kg
286,5 lbs
287,70 kg
288,69 kg
289,1 kg
290,1 kg
291,1 kg
292,50 kg
293,60 kg
294,6
295,60 kg
296,60 kg
297,70 kg
298,10 kg
299,70 kg
300,60 kg
301,70 kg
302,60 kg
303,5 lbs
304,70 kg
305,70 kg
306,70 kg
307,70 kg
308,100 lbs
309,1 kg
310,3 lbs
311,70 kg
312,70 kg
313,1
314,60 kg
315,60 kg
316,69 kg
317,69 kg
318,60 kg
319,50 kg
320,69 kg
321,1 kg
322,2 lbs
323,69 kg
324,70 kg
325,70 kg
326,69 kg
327,69 kg
328,70 kg
329,1 kg
330,1 kg
331,1 kg
332,60 kg
333,69 kg
334,100 lbs
335,60 kg
336,69 kg
337,70 kg
338,60 kg
339,70 kg
340,2 kg
341,60 kg
342,60 kg
343,70 kg
344,70 kg
345,70 kg
346,30 kg
347,70 kg
348,1 kg
349,70 kg
350,60 kg
351,70 kg
352,10 kg
353,69 kg
354,70 kg
355,69 kg
356,70 kg
357,60 kg
358,30 kg
359,60 kg
360,2 kg
361,70 kg
362,1 kg
363,70 kg
364,1 kg
365,70 kg
366,70 kg
367,1 kg
368,1 kg
369,1 kg
370,69 kg
371,70 kg
372,2 kg
373,100 lbs
374,60 kg
375,29 kg
376,69 kg
377,29 kg
378,69 kg
379,10 kg
380,1218 kg
381,25 kg
382,69 kg
383,70 kg
384,60 kg
385,60 kg
386,70 kg
387,69 kg
388,69 kg
389,69 kg
390,100 lbs
391,70 kg
392,70 kg
393,60 kg
394,1 lbs
395,6
396,70 kg
397,70 kg
398,70 kg
399,2 kg
400,1 kg
401,70 kg
402,60 kg
403,1 kg
404,3 lbs
405,100 lbs
406,1 kg
407,5 lbs
408,4 lbs
409,70 kg
410,69 kg
411,100 lbs
412,60 kg
413,70 kg
414,100 lbs
415,100 lbs
416,50 kg
417,46 kg
418,69 kg
419,0 kg
420,9000 kg
421,60 kg
422,35 kg
423,2 kg
424,15 kg
425,60 kg
426,70 kg
427,69 kg
428,70 kg
429,1 kg
430,100 lbs
431,1 kg
432,1 kg
433,1 kg
434,60 kg
435,70 kg
436,70 kg
437,70 kg
438,70 kg
439,70 kg
440,60 kg
441,69 kg
442,60 kg
443,13800 kg
444,2 kg
445,1500 kg
446,69 kg
447,60 kg
448,60 kg
449,69 kg
450,69 kg
451,69 kg
452,2 kg
453,1 kg
454,60 kg
455,70 kg
456,60 kg
457,4 lbs
458,1 kg
459,1 kg
460,69 kg
461,100 lbs
462,1 kg
463,69 kg
464,1 kg
465,1 kg
466,1 kg
467,70 kg
468,1 kg
469,70 kg
470,1 kg
471,60 kg
472,60 kg
473,2 kg
474,60 kg
475,60 kg
476,69 kg
477,6
478,70 kg
479,70 kg
480,60 kg
481,2 kg
482,60 kg
483,60 kg
484,2 kg
485,1 kg
486,100 lbs
487,30 kg
488,100 lbs
489,1 kg
490,100 lbs
491,100 lbs
492,70 kg
493,70 kg
494,60 kg
495,69 kg
496,60 kg
497,60 kg
498,60 kg
499,60 kg
500,60 kg
501,70 kg
502,2 kg
503,69 kg
504,69 kg
505,69 kg
506,2 kg
507,60 kg
508,60 kg
509,5 lbs
510,69 kg
511,1 kg
512,2 kg
513,70 kg
514,70 kg
515,70 kg
516,70 kg
517,70 kg
518,1 kg
519,1 kg
520,1 kg
521,70 kg
522,70 kg
523,70 kg
524,1 kg
525,1 kg
526,60 kg
527,70 kg
528,100 lbs
529,100 lbs
530,70 kg
531,6
532,1 lbs
533,60 kg
534,69 kg
535,70 kg
536,20 kg
537,60 kg
538,2 kg
539,2 kg
540,2 kg
541,2 kg
542,2 kg
543,2 kg
544,60 kg
545,60 kg
546,69 kg
547,69 kg
548,2 kg
549,70 kg
550,70 kg
551,69 kg
552,70 kg
553,1 kg
554,2 kg
555,1 kg
556,100 lbs
557,70 kg
558,1 lbs
559,50 kg
560,69 kg
561,60 kg
562,69 kg
563,60 kg
564,2 kg
565,69 kg
566,60 kg
567,24 kg
568,60 kg
569,69 kg
570,1 kg
571,70 kg
572,2 kg
573,1 kg
574,1 kg
575,1 kg
576,1 kg
577,69 kg
578,69 kg
579,69 kg
580,69 kg
581,69 kg
582,69 kg
583,1 kg
584,69 kg
585,10 kg
586,69 kg
587,69 kg
588,69 kg
589,60 kg
590,60 kg
591,60 kg
592,70 kg
593,60 kg
594,69 kg
595,1 kg
596,80 lbs
597,100 lbs
598,1 kg
599,1 kg
600,1 kg
601,1 kg
602,70 kg
603,70 kg
604,100 lbs
605,2 kg
606,1
607,60 kg
608,60 kg
609,50 kg
610,69 kg
611,8 kg
612,2 kg
613,2 kg
614,60 kg
615,60 kg
616,60 kg
617,60 kg
618,1 kg
619,60 kg
620,30 kg
621,60 kg
622,70 kg
623,1 kg
624,69 kg
625,1 kg
626,1 kg
627,1 kg
628,1 kg
629,100 lbs
630,1 kg
631,70 kg
632,70 kg
633,69 kg
634,5 kg
635,59 kg
636,10 kg
637,60 kg
638,2 kg
639,1 kg
640,20 kg
641,60 kg
642,60 kg
643,1 kg
644,5 lbs
645,2 kg
646,70 kg
647,70 kg
648,70 kg
