track,2 Pac,2Ge+her,3 Doors Down,504 Boyz,98^0,A*Teens,Aaliyah,"Adams, Yolanda","Adkins, Trace","Aguilera, Christina",Alice Deejay,"Allan, Gary",Amber,Anastacia,"Anthony, Marc",Avant,BBMak,"Backstreet Boys, The","Badu, Erkyah",Baha Men,Barenaked Ladies,Beenie Man,Before Dark,"Bega, Lou",Big Punisher,Black Rob,"Black, Clint",Blaque,"Blige, Mary J.",Blink-182,Bloodhound Gang,Bon Jovi,"Braxton, Toni","Brock, Chad",Brooks & Dunn,"Brooks, Garth","Byrd, Tracy","Cagle, Chris",Cam'ron,"Carey, Mariah","Carter, Aaron","Carter, Torrey",Changing Faces,"Chesney, Kenny",Clark Family Experience,"Clark, Terri",Common,Counting Crows,Creed,"Cyrus, Billy Ray",D'Angelo,DMX,Da Brat,"Davidson, Clay",De La Soul,Destiny's Child,"Diffie, Joe","Dion, Celine","Dixie Chicks, The",Dr. Dre,Drama,Dream,"Eastsidaz, The",Eiffel 65,"Elliott, Missy ""Misdemeanor""",Eminem,En Vogue,"Estefan, Gloria","Evans, Sara",Eve,Everclear,"Fabian, Lara",Fatboy Slim,Filter,Foo Fighters,Fragma,Funkmaster Flex,Ghostface Killah,"Gill, Vince","Gilman, Billy",Ginuwine,Goo Goo Dolls,"Gray, Macy","Griggs, Andy",Guy,Hanson,"Hart, Beth","Heatherly, Eric","Henley, Don","Herndon, Ty","Hill, Faith",Hoku,"Hollister, Dave",Hot Boys,"Houston, Whitney",IMx,Ice Cube,Ideal,"Iglesias, Enrique",J-Shin,Ja Rule,"Jackson, Alan",Jagged Edge,Janet,Jay-Z,"Jean, Wyclef",Joe,"John, Elton","Jones, Donell","Jordan, Montell",Juvenile,Kandi,"Keith, Toby",Kelis,Kenny G,Kid Rock,"Kravitz, Lenny",Kumbia Kings,LFO,LL Cool J,"Larrieux, Amel","Lawrence, Tracy","Levert, Gerald",Lil Bow Wow,Lil Wayne,Lil' Kim,Lil' Mo,Lil' Zane,Limp Bizkit,Lonestar,"Lopez, Jennifer","Loveless, Patty",Lox,Lucy Pearl,Ludacris,M2M,Madison Avenue,Madonna,"Martin, Ricky",Mary Mary,Master P,"McBride, Martina","McEntire, Reba","McGraw, Tim","McKnight, Brian","Messina, Jo Dee",Metallica,Montgomery Gentry,"Montgomery, John Michael","Moore, Chante","Moore, Mandy","Mumba, Samantha",Musiq,Mya,Mystikal,N'Sync,Nas,Nelly,Next,Nine Days,No Doubt,Nu Flavor,"Offspring, The","Paisley, Brad",Papa Roach,Pearl Jam,Pink,"Price, Kelly",Profyle,Puff Daddy,Q-Tip,R.E.M.,Rascal Flatts,"Raye, Collin",Red Hot Chili Peppers,"Rimes, LeAnn","Rogers, Kenny",Ruff Endz,Sammie,Santana,Savage Garden,SheDaisy,"Sheist, Shade",Shyne,"Simpson, Jessica",Sisqo,Sister Hazel,Smash Mouth,"Smith, Will",Son By Four,Sonique,SoulDecision,"Spears, Britney","Spencer, Tracie",Splender,Sting,Stone Temple Pilots,"Stone, Angie","Strait, George",Sugar Ray,TLC,Tamar,Tamia,Third Eye Blind,"Thomas, Carl","Tippin, Aaron",Train,Trick Daddy,Trina,"Tritt, Travis",Tuesday,"Urban, Keith",Usher,"Vassar, Phil",Vertical Horizon,Vitamin C,"Walker, Clay","Wallflowers, The",Westlife,"Williams, Robbie","Wills, Mark","Worley, Darryl","Wright, Chely",Yankee Grey,"Yearwood, Trisha",Ying Yang Twins,Zombie Nation,matchbox twenty
(Hot S**t) Country G...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Little Words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Country Boy Can Su...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Little Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Puro Dolor (Purest...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron's Party (Come ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolutely (Story Of...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Good?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All The Small Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
